id,signal,execs,time_ms,size,sha256,exit_code,asan_type,classification,top_frame,top_symbol,locations,filename
000022,06,5433227,2142064,776,198d4aba26d574186ab0b486c9e3dc3e3a77dd0d121e182c3a6c7344e272d25b,1,heap-use-after-free,heap-use-after-free,(/root/codex_final_fuzzstudy_0606/513558007-Fuzzing-Study/fuzzgoat_ASAN+0x114961) (BuildId: e9c752000637e5054a2d38b8a89a1c1d6b08c082),json_parse_ex at /src/fuzzgoat.c:643,json_parse_ex at /src/fuzzgoat.c:643; json_parse at /src/fuzzgoat.c:1073; main at /src/main.c:156; new_value at /src/fuzzgoat.c:137; new_value at /src/fuzzgoat.c:99,"id:000022,sig:06,src:000755,time:2142064,execs:5433227,op:havoc,rep:1"
000023,06,5577623,2198984,1097,0975508750aef141541045a73e6b60add8a4bb163483333718f0393c6e707ab7,1,attempting,invalid-free / bad-free,(/root/codex_final_fuzzstudy_0606/513558007-Fuzzing-Study/fuzzgoat_ASAN+0xccffa) (BuildId: e9c752000637e5054a2d38b8a89a1c1d6b08c082),default_free at /src/fuzzgoat.c:85,default_free at /src/fuzzgoat.c:85; main at /src/main.c:166; new_value at /src/fuzzgoat.c:99; json_parse at /src/fuzzgoat.c:1073; main at /src/main.c:156,"id:000023,sig:06,src:000759,time:2198984,execs:5577623,op:havoc,rep:2"
000024,11,7334313,2889393,27,cf6805923a6f0a33c1ec7d092c0494f77cd74fe6cd1d7874cf9f47d109a695e2,1,heap-buffer-overflow,heap-buffer-overflow,(/root/codex_final_fuzzstudy_0606/513558007-Fuzzing-Study/fuzzgoat_ASAN+0x4da4a) (BuildId: e9c752000637e5054a2d38b8a89a1c1d6b08c082),main at /src/main.c:150,main at /src/main.c:150; main at /src/main.c:129,"id:000024,sig:11,src:000044,time:2889393,execs:7334313,op:havoc,rep:2"
000025,11,10558554,4159718,8,1f936a041c4a113957300062c0c2192bd3c111296573dccfc3388ccf4a9d092e,1,heap-buffer-overflow,heap-buffer-overflow,(/root/codex_final_fuzzstudy_0606/513558007-Fuzzing-Study/fuzzgoat_ASAN+0x4da4a) (BuildId: e9c752000637e5054a2d38b8a89a1c1d6b08c082),main at /src/main.c:150,main at /src/main.c:150; main at /src/main.c:129,"id:000025,sig:11,src:000044,time:4159718,execs:10558554,op:havoc,rep:1"
000026,11,24175766,9572476,1119,b405c4354ac87aedcab0febef70cba10577d23f2a47c12b3ff6710567e28a28f,1,heap-buffer-overflow,heap-buffer-overflow,(/root/codex_final_fuzzstudy_0606/513558007-Fuzzing-Study/fuzzgoat_ASAN+0x4da4a) (BuildId: e9c752000637e5054a2d38b8a89a1c1d6b08c082),main at /src/main.c:150,main at /src/main.c:150; main at /src/main.c:129,"id:000026,sig:11,src:000808,time:9572476,execs:24175766,op:havoc,rep:6"
000027,11,26556754,10522168,2046,95a03709f893c456e8e8afbced942b7fd351a79e0f003c6397a741bf808f6c81,1,SEGV,segmentation-fault,(/root/codex_final_fuzzstudy_0606/513558007-Fuzzing-Study/fuzzgoat_ASAN+0x11625c) (BuildId: e9c752000637e5054a2d38b8a89a1c1d6b08c082),json_value_free at /src/fuzzgoat.c:224,json_value_free at /src/fuzzgoat.c:224; main at /src/main.c:166,"id:000027,sig:11,src:000817,time:10522168,execs:26556754,op:havoc,rep:1"
000028,06,29053301,11527101,262,b2f469d3b930c6782dba5890ca0b689dfd00676c98b57a80c8691ed69f46d181,1,heap-use-after-free,heap-use-after-free,(/root/codex_final_fuzzstudy_0606/513558007-Fuzzing-Study/fuzzgoat_ASAN+0x114961) (BuildId: e9c752000637e5054a2d38b8a89a1c1d6b08c082),json_parse_ex at /src/fuzzgoat.c:643,json_parse_ex at /src/fuzzgoat.c:643; json_parse at /src/fuzzgoat.c:1073; main at /src/main.c:156; new_value at /src/fuzzgoat.c:137; new_value at /src/fuzzgoat.c:99,"id:000028,sig:06,src:000739,time:11527101,execs:29053301,op:havoc,rep:3"
000029,11,29800116,11828580,341,6f982e8743528a8a460323f25fc169a7bbfaf86c76299a64118b75093598c162,1,heap-buffer-overflow,heap-buffer-overflow,(/root/codex_final_fuzzstudy_0606/513558007-Fuzzing-Study/fuzzgoat_ASAN+0x4da4a) (BuildId: e9c752000637e5054a2d38b8a89a1c1d6b08c082),main at /src/main.c:150,main at /src/main.c:150; main at /src/main.c:129,"id:000029,sig:11,src:000808,time:11828580,execs:29800116,op:havoc,rep:3"
000030,11,29935267,11881396,809,c752a1eac6358dba10a1d041f77b2bc440a00029214e81e9ba144435e9fbb4e9,1,heap-buffer-overflow,heap-buffer-overflow,(/root/codex_final_fuzzstudy_0606/513558007-Fuzzing-Study/fuzzgoat_ASAN+0x4da4a) (BuildId: e9c752000637e5054a2d38b8a89a1c1d6b08c082),main at /src/main.c:150,main at /src/main.c:150; main at /src/main.c:129,"id:000030,sig:11,src:000809,time:11881396,execs:29935267,op:havoc,rep:3"
000031,11,30247720,12004562,788,663c891eef8dafeba9218730c5b67e52d6ffa17e24629050b40170bb1c50942b,1,heap-buffer-overflow,heap-buffer-overflow,(/root/codex_final_fuzzstudy_0606/513558007-Fuzzing-Study/fuzzgoat_ASAN+0x4da4a) (BuildId: e9c752000637e5054a2d38b8a89a1c1d6b08c082),main at /src/main.c:150,main at /src/main.c:150; main at /src/main.c:129,"id:000031,sig:11,src:000809,time:12004562,execs:30247720,op:havoc,rep:2"
